leaf_id,species,level,n_features_elevated
kasthuri_dehi__damaged_mid__image_09,kasthuri_dehi,mid,4
kasthuri_dehi__damaged_mid__image_10,kasthuri_dehi,mid,5
kasthuri_dehi__healthy__image_01,kasthuri_dehi,healthy,9
kasthuri_dehi__healthy__image_02,kasthuri_dehi,healthy,3
kasthuri_dehi__healthy__image_03,kasthuri_dehi,healthy,6
kasthuri_dehi__healthy__image_04,kasthuri_dehi,healthy,2
kasthuri_dehi__healthy__image_05,kasthuri_dehi,healthy,0
kasthuri_dehi__healthy__image_06,kasthuri_dehi,healthy,0
kasthuri_dehi__healthy__image_07,kasthuri_dehi,healthy,2
kasthuri_dehi__healthy__image_08,kasthuri_dehi,healthy,0
kasthuri_dehi__healthy__image_10,kasthuri_dehi,healthy,2
kasthuri_dehi__healthy__image_09,kasthuri_dehi,healthy,0
kasthuri_dehi__healthy__image_11,kasthuri_dehi,healthy,3
kasthuri_dehi__healthy__image_12,kasthuri_dehi,healthy,5
kasthuri_dehi__healthy__image_13,kasthuri_dehi,healthy,4
kasthuri_dehi__healthy__image_14,kasthuri_dehi,healthy,13
kasthuri_dehi__healthy__image_15,kasthuri_dehi,healthy,1
kasthuri_dehi__healthy__image_16,kasthuri_dehi,healthy,0
kasthuri_dehi__healthy__image_17,kasthuri_dehi,healthy,5
kasthuri_dehi__healthy__image_18,kasthuri_dehi,healthy,1
kasthuri_dehi__healthy__image_19,kasthuri_dehi,healthy,0
kasthuri_dehi__healthy__image_20,kasthuri_dehi,healthy,0
kasthuri_dehi__healthy__test_001,kasthuri_dehi,healthy,0
kasthuri_dehi__healthy__test_002,kasthuri_dehi,healthy,1
kasthuri_dehi__healthy__test_003,kasthuri_dehi,healthy,0
kasthuri_dehi__healthy__image_21,kasthuri_dehi,healthy,0
kasthuri_dehi__healthy__test_004,kasthuri_dehi,healthy,3
kasthuri_dehi__healthy__image_22,kasthuri_dehi,healthy,1
kasthuri_dehi__healthy__test_005,kasthuri_dehi,healthy,1
kasthuri_dehi__healthy__image_23,kasthuri_dehi,healthy,10
kasthuri_dehi__healthy__image_24,kasthuri_dehi,healthy,11
kasthuri_dehi__healthy__image_25,kasthuri_dehi,healthy,0
kathurupila__damaged_high__image_06,kathurupila,high,3
kathurupila__damaged_high__image_05,kathurupila,high,3
kathurupila__damaged_high__image_08,kathurupila,high,5
kathurupila__damaged_high__image_03,kathurupila,high,4
kathurupila__damaged_high__image_07,kathurupila,high,5
kathurupila__damaged_high__image_09,kathurupila,high,7
kathurupila__damaged_high__test_2,kathurupila,high,3
kathurupila__damaged_high__test_1,kathurupila,high,5
kathurupila__damaged_high__image_10,kathurupila,high,5
kathurupila__damaged_high__image_12,kathurupila,high,3
kathurupila__damaged_high__image_16,kathurupila,high,2
kathurupila__damaged_high__image_15,kathurupila,high,5
kathurupila__damaged_low__test_1,kathurupila,low,5
kathurupila__damaged_low__image_06,kathurupila,low,3
kathurupila__damaged_low__image_11,kathurupila,low,3
kathurupila__damaged_low__image_12,kathurupila,low,2
kathurupila__damaged_low__image_13,kathurupila,low,2
kathurupila__damaged_low__image_14,kathurupila,low,4
kathurupila__damaged_mid__image_01,kathurupila,mid,4
kathurupila__damaged_mid__image_02,kathurupila,mid,4
kathurupila__damaged_mid__image_03,kathurupila,mid,1
kathurupila__damaged_mid__image_04,kathurupila,mid,3
kathurupila__damaged_mid__test_1,kathurupila,mid,3
kathurupila__damaged_mid__image_06,kathurupila,mid,5
kathurupila__damaged_mid__image_05,kathurupila,mid,3
kathurupila__damaged_mid__test_2,kathurupila,mid,2
kathurupila__damaged_mid__image_07,kathurupila,mid,0
kathurupila__damaged_mid__image_09,kathurupila,mid,2
kathurupila__damaged_mid__image_08,kathurupila,mid,3
kathurupila__damaged_mid__image_10,kathurupila,mid,5
kathurupila__healthy__image_01,kathurupila,healthy,1
kathurupila__healthy__image_03,kathurupila,healthy,0
kathurupila__healthy__image_02,kathurupila,healthy,6
kathurupila__healthy__image_04,kathurupila,healthy,0
kathurupila__healthy__image_05,kathurupila,healthy,1
kathurupila__healthy__image_06,kathurupila,healthy,1
kathurupila__healthy__image_07,kathurupila,healthy,2
kathurupila__healthy__image_08,kathurupila,healthy,2
kathurupila__healthy__image_09,kathurupila,healthy,0
kathurupila__healthy__image_11,kathurupila,healthy,1
kathurupila__healthy__image_10,kathurupila,healthy,0
kathurupila__healthy__image_12,kathurupila,healthy,1
kathurupila__healthy__image_13,kathurupila,healthy,1
kathurupila__healthy__image_14,kathurupila,healthy,3
kathurupila__healthy__image_15,kathurupila,healthy,0
kathurupila__healthy__image_16,kathurupila,healthy,1
kathurupila__healthy__image_17,kathurupila,healthy,1
kathurupila__healthy__image_19,kathurupila,healthy,3
kathurupila__healthy__image_18,kathurupila,healthy,1
kathurupila__healthy__image_20,kathurupila,healthy,5
kathurupila__healthy__test_002,kathurupila,healthy,0
kathurupila__healthy__test_001,kathurupila,healthy,3
kathurupila__healthy__image_21,kathurupila,healthy,1
kathurupila__healthy__test_003,kathurupila,healthy,2
kathurupila__healthy__test_004,kathurupila,healthy,0
kathurupila__healthy__test_005,kathurupila,healthy,3
kathurupila__healthy__image_22,kathurupila,healthy,1
kathurupila__healthy__image_24,kathurupila,healthy,2
kathurupila__healthy__image_23,kathurupila,healthy,1
kathurupila__healthy__image_25,kathurupila,healthy,2
kattakumanjal__damaged_high__image_02,kattakumanjal,high,1
kattakumanjal__damaged_high__image_04,kattakumanjal,high,2
kattakumanjal__damaged_high__image_03,kattakumanjal,high,4
kattakumanjal__damaged_high__image_06,kattakumanjal,high,5
kattakumanjal__damaged_high__image_01,kattakumanjal,high,6
kattakumanjal__damaged_high__image_09,kattakumanjal,high,2
kattakumanjal__damaged_high__image_05,kattakumanjal,high,2
kattakumanjal__damaged_high__test_1,kattakumanjal,high,4
kattakumanjal__damaged_high__test_2,kattakumanjal,high,2
kattakumanjal__damaged_high__image_10,kattakumanjal,high,3
kattakumanjal__damaged_high__image_14,kattakumanjal,high,3
kattakumanjal__damaged_high__image_13,kattakumanjal,high,4
kattakumanjal__damaged_low__test_1,kattakumanjal,low,3
kattakumanjal__damaged_low__image_01,kattakumanjal,low,14
kattakumanjal__damaged_low__image_14,kattakumanjal,low,4
kattakumanjal__damaged_low__image_15,kattakumanjal,low,0
kattakumanjal__damaged_low__image_03,kattakumanjal,low,2
kattakumanjal__damaged_low__image_16,kattakumanjal,low,7
kattakumanjal__damaged_mid__image_02,kattakumanjal,mid,7
kattakumanjal__damaged_mid__image_04,kattakumanjal,mid,4
kattakumanjal__damaged_mid__image_06,kattakumanjal,mid,0
kattakumanjal__damaged_mid__image_05,kattakumanjal,mid,13
kattakumanjal__damaged_mid__image_08,kattakumanjal,mid,1
kattakumanjal__damaged_mid__image_07,kattakumanjal,mid,2
kattakumanjal__damaged_mid__test_2,kattakumanjal,mid,0
kattakumanjal__damaged_mid__test_3,kattakumanjal,mid,4
kattakumanjal__damaged_mid__image_09,kattakumanjal,mid,8
kattakumanjal__damaged_mid__image_11,kattakumanjal,mid,2
kattakumanjal__damaged_mid__image_12,kattakumanjal,mid,4
kattakumanjal__damaged_mid__image_13,kattakumanjal,mid,3
kattakumanjal__healthy__image_02,kattakumanjal,healthy,5
kattakumanjal__healthy__image_03,kattakumanjal,healthy,6
kattakumanjal__healthy__image_01,kattakumanjal,healthy,0
kattakumanjal__healthy__image_04,kattakumanjal,healthy,5
kattakumanjal__healthy__image_05,kattakumanjal,healthy,4
kattakumanjal__healthy__image_06,kattakumanjal,healthy,1
kattakumanjal__healthy__image_08,kattakumanjal,healthy,3
kattakumanjal__healthy__image_11,kattakumanjal,healthy,6
kattakumanjal__healthy__image_07,kattakumanjal,healthy,8
kattakumanjal__healthy__image_10,kattakumanjal,healthy,7
kattakumanjal__healthy__image_09,kattakumanjal,healthy,6
kattakumanjal__healthy__image_12,kattakumanjal,healthy,0
kattakumanjal__healthy__image_13,kattakumanjal,healthy,0
kattakumanjal__healthy__image_14,kattakumanjal,healthy,4
kattakumanjal__healthy__image_15,kattakumanjal,healthy,1
kattakumanjal__healthy__image_18,kattakumanjal,healthy,2
kattakumanjal__healthy__image_16,kattakumanjal,healthy,1
kattakumanjal__healthy__image_19,kattakumanjal,healthy,0
kattakumanjal__healthy__image_17,kattakumanjal,healthy,4
kattakumanjal__healthy__image_20,kattakumanjal,healthy,0
kattakumanjal__healthy__image_22,kattakumanjal,healthy,1
kattakumanjal__healthy__image_21,kattakumanjal,healthy,1
kattakumanjal__healthy__test_001,kattakumanjal,healthy,3
kattakumanjal__healthy__test_002,kattakumanjal,healthy,0
kattakumanjal__healthy__test_003,kattakumanjal,healthy,2
kattakumanjal__healthy__test_004,kattakumanjal,healthy,2
kattakumanjal__healthy__test_005,kattakumanjal,healthy,3
kattakumanjal__healthy__image_23,kattakumanjal,healthy,0
kattakumanjal__healthy__image_25,kattakumanjal,healthy,0
kattakumanjal__healthy__image_24,kattakumanjal,healthy,2
maha_undupiyaliya__damaged_high__image_01,maha_undupiyaliya,high,12
maha_undupiyaliya__damaged_high__image_02,maha_undupiyaliya,high,2
maha_undupiyaliya__damaged_high__image_05,maha_undupiyaliya,high,11
maha_undupiyaliya__damaged_high__image_03,maha_undupiyaliya,high,14
maha_undupiyaliya__damaged_high__test_1,maha_undupiyaliya,high,9
maha_undupiyaliya__damaged_high__test_2,maha_undupiyaliya,high,6
maha_undupiyaliya__damaged_high__image_08,maha_undupiyaliya,high,11
maha_undupiyaliya__damaged_high__test_3,maha_undupiyaliya,high,2
maha_undupiyaliya__damaged_high__image_10,maha_undupiyaliya,high,5
maha_undupiyaliya__damaged_high__image_09,maha_undupiyaliya,high,3
maha_undupiyaliya__damaged_high__image_13,maha_undupiyaliya,high,12
maha_undupiyaliya__damaged_high__image_14,maha_undupiyaliya,high,14
maha_undupiyaliya__damaged_low__test_1,maha_undupiyaliya,low,5
maha_undupiyaliya__damaged_low__image_01,maha_undupiyaliya,low,5
maha_undupiyaliya__damaged_low__image_11,maha_undupiyaliya,low,8
maha_undupiyaliya__damaged_low__image_12,maha_undupiyaliya,low,5
maha_undupiyaliya__damaged_low__image_13,maha_undupiyaliya,low,7
maha_undupiyaliya__damaged_low__image_14,maha_undupiyaliya,low,0
maha_undupiyaliya__damaged_mid__image_02,maha_undupiyaliya,mid,1
maha_undupiyaliya__damaged_mid__image_01,maha_undupiyaliya,mid,3
maha_undupiyaliya__damaged_mid__image_03,maha_undupiyaliya,mid,4
maha_undupiyaliya__damaged_mid__image_04,maha_undupiyaliya,mid,4
maha_undupiyaliya__damaged_mid__test_2,maha_undupiyaliya,mid,5
maha_undupiyaliya__damaged_mid__image_05,maha_undupiyaliya,mid,0
maha_undupiyaliya__damaged_mid__test_3,maha_undupiyaliya,mid,6
maha_undupiyaliya__damaged_mid__image_06,maha_undupiyaliya,mid,1
maha_undupiyaliya__damaged_mid__image_07,maha_undupiyaliya,mid,4
maha_undupiyaliya__damaged_mid__image_08,maha_undupiyaliya,mid,4
maha_undupiyaliya__damaged_mid__image_09,maha_undupiyaliya,mid,4
maha_undupiyaliya__damaged_mid__image_10,maha_undupiyaliya,mid,4
maha_undupiyaliya__healthy__image_01,maha_undupiyaliya,healthy,4
maha_undupiyaliya__healthy__image_02,maha_undupiyaliya,healthy,5
maha_undupiyaliya__healthy__image_03,maha_undupiyaliya,healthy,8
maha_undupiyaliya__healthy__image_04,maha_undupiyaliya,healthy,0
maha_undupiyaliya__healthy__image_05,maha_undupiyaliya,healthy,2
maha_undupiyaliya__healthy__image_06,maha_undupiyaliya,healthy,0
maha_undupiyaliya__healthy__image_07,maha_undupiyaliya,healthy,7
maha_undupiyaliya__healthy__image_08,maha_undupiyaliya,healthy,4
maha_undupiyaliya__healthy__image_09,maha_undupiyaliya,healthy,3
maha_undupiyaliya__healthy__image_11,maha_undupiyaliya,healthy,1
maha_undupiyaliya__healthy__image_10,maha_undupiyaliya,healthy,0
maha_undupiyaliya__healthy__image_12,maha_undupiyaliya,healthy,0
maha_undupiyaliya__healthy__image_13,maha_undupiyaliya,healthy,0
maha_undupiyaliya__healthy__image_14,maha_undupiyaliya,healthy,2
maha_undupiyaliya__healthy__image_15,maha_undupiyaliya,healthy,3
maha_undupiyaliya__healthy__image_16,maha_undupiyaliya,healthy,0
maha_undupiyaliya__healthy__image_17,maha_undupiyaliya,healthy,1
maha_undupiyaliya__healthy__image_18,maha_undupiyaliya,healthy,9
maha_undupiyaliya__healthy__image_19,maha_undupiyaliya,healthy,0
maha_undupiyaliya__healthy__image_20,maha_undupiyaliya,healthy,1
maha_undupiyaliya__healthy__image_21,maha_undupiyaliya,healthy,0
maha_undupiyaliya__healthy__test_001,maha_undupiyaliya,healthy,0
maha_undupiyaliya__healthy__test_002,maha_undupiyaliya,healthy,2
maha_undupiyaliya__healthy__test_003,maha_undupiyaliya,healthy,1
maha_undupiyaliya__healthy__image_22,maha_undupiyaliya,healthy,1
maha_undupiyaliya__healthy__test_004,maha_undupiyaliya,healthy,6
maha_undupiyaliya__healthy__test_005,maha_undupiyaliya,healthy,0
maha_undupiyaliya__healthy__image_23,maha_undupiyaliya,healthy,1
maha_undupiyaliya__healthy__image_24,maha_undupiyaliya,healthy,5
maha_undupiyaliya__healthy__image_25,maha_undupiyaliya,healthy,3
nil_awariya__damaged_high__image_01,nil_awariya,high,6
nil_awariya__damaged_high__image_03,nil_awariya,high,1
nil_awariya__damaged_high__image_05,nil_awariya,high,9
nil_awariya__damaged_high__image_08,nil_awariya,high,4
nil_awariya__damaged_high__image_07,nil_awariya,high,5
nil_awariya__damaged_high__image_09,nil_awariya,high,7
nil_awariya__damaged_high__test_2,nil_awariya,high,3
nil_awariya__damaged_high__test_3,nil_awariya,high,8
nil_awariya__damaged_high__image_10,nil_awariya,high,7
nil_awariya__damaged_high__image_11,nil_awariya,high,2
nil_awariya__damaged_high__image_12,nil_awariya,high,6
nil_awariya__damaged_high__image_14,nil_awariya,high,3
nil_awariya__damaged_low__test_1,nil_awariya,low,2
nil_awariya__damaged_low__image_11,nil_awariya,low,4
nil_awariya__damaged_low__image_12,nil_awariya,low,4
nil_awariya__damaged_low__image_13,nil_awariya,low,3
nil_awariya__damaged_low__image_14,nil_awariya,low,4
nil_awariya__damaged_low__image_15,nil_awariya,low,4
nil_awariya__damaged_mid__image_01,nil_awariya,mid,4
nil_awariya__damaged_mid__image_02,nil_awariya,mid,4
nil_awariya__damaged_mid__image_03,nil_awariya,mid,5
nil_awariya__damaged_mid__image_04,nil_awariya,mid,6
nil_awariya__damaged_mid__image_05,nil_awariya,mid,5
nil_awariya__damaged_mid__image_06,nil_awariya,mid,6
nil_awariya__damaged_mid__test_2,nil_awariya,mid,7
nil_awariya__damaged_mid__image_07,nil_awariya,mid,3
nil_awariya__damaged_mid__test_3,nil_awariya,mid,1
nil_awariya__damaged_mid__image_08,nil_awariya,mid,7
nil_awariya__damaged_mid__image_09,nil_awariya,mid,2
nil_awariya__damaged_mid__image_10,nil_awariya,mid,2
nil_awariya__healthy__image_01,nil_awariya,healthy,0
nil_awariya__healthy__image_02,nil_awariya,healthy,0
nil_awariya__healthy__image_03,nil_awariya,healthy,0
nil_awariya__healthy__image_04,nil_awariya,healthy,2
nil_awariya__healthy__image_05,nil_awariya,healthy,2
nil_awariya__healthy__image_06,nil_awariya,healthy,1
nil_awariya__healthy__image_08,nil_awariya,healthy,0
nil_awariya__healthy__image_07,nil_awariya,healthy,0
nil_awariya__healthy__image_09,nil_awariya,healthy,0
nil_awariya__healthy__image_10,nil_awariya,healthy,0
nil_awariya__healthy__image_11,nil_awariya,healthy,0
nil_awariya__healthy__image_12,nil_awariya,healthy,0
nil_awariya__healthy__image_13,nil_awariya,healthy,0
nil_awariya__healthy__image_14,nil_awariya,healthy,2
nil_awariya__healthy__image_15,nil_awariya,healthy,2
nil_awariya__healthy__image_16,nil_awariya,healthy,0
nil_awariya__healthy__image_17,nil_awariya,healthy,1
nil_awariya__healthy__image_18,nil_awariya,healthy,0
nil_awariya__healthy__image_19,nil_awariya,healthy,0
nil_awariya__healthy__image_21,nil_awariya,healthy,3
nil_awariya__healthy__image_22,nil_awariya,healthy,2
nil_awariya__healthy__test_001,nil_awariya,healthy,0
nil_awariya__healthy__image_20,nil_awariya,healthy,2
nil_awariya__healthy__test_002,nil_awariya,healthy,6
nil_awariya__healthy__test_003,nil_awariya,healthy,1
nil_awariya__healthy__test_004,nil_awariya,healthy,3
nil_awariya__healthy__test_005,nil_awariya,healthy,1
nil_awariya__healthy__image_24,nil_awariya,healthy,2
nil_awariya__healthy__image_23,nil_awariya,healthy,1
nil_awariya__healthy__image_25,nil_awariya,healthy,1
ranawara__damaged_high__image_01,ranawara,high,4
ranawara__damaged_high__image_03,ranawara,high,4
ranawara__damaged_high__image_07,ranawara,high,2
ranawara__damaged_high__image_06,ranawara,high,1
ranawara__damaged_high__image_08,ranawara,high,3
ranawara__damaged_high__image_10,ranawara,high,1
ranawara__damaged_high__image_09,ranawara,high,4
ranawara__damaged_high__test_1,ranawara,high,3
ranawara__damaged_high__test_3,ranawara,high,2
ranawara__damaged_high__image_12,ranawara,high,0
ranawara__damaged_high__image_13,ranawara,high,2
ranawara__damaged_high__image_15,ranawara,high,1
ranawara__damaged_low__test_1,ranawara,low,1
ranawara__damaged_low__image_12,ranawara,low,3
ranawara__damaged_low__image_11,ranawara,low,2
ranawara__damaged_low__image_14,ranawara,low,5
ranawara__damaged_low__image_13,ranawara,low,4
ranawara__damaged_low__image_15,ranawara,low,1
ranawara__damaged_mid__image_01,ranawara,mid,1
ranawara__damaged_mid__image_02,ranawara,mid,5
ranawara__damaged_mid__image_03,ranawara,mid,4
ranawara__damaged_mid__image_04,ranawara,mid,1
ranawara__damaged_mid__test_2,ranawara,mid,3
ranawara__damaged_mid__image_05,ranawara,mid,0
ranawara__damaged_mid__image_06,ranawara,mid,6
ranawara__damaged_mid__test_3,ranawara,mid,0
ranawara__damaged_mid__image_07,ranawara,mid,4
ranawara__damaged_mid__image_08,ranawara,mid,1
ranawara__damaged_mid__image_09,ranawara,mid,0
ranawara__damaged_mid__image_17,ranawara,mid,2
ranawara__healthy__image_01,ranawara,healthy,1
ranawara__healthy__image_04,ranawara,healthy,0
ranawara__healthy__image_02,ranawara,healthy,6
ranawara__healthy__image_03,ranawara,healthy,0
ranawara__healthy__image_05,ranawara,healthy,3
ranawara__healthy__image_06,ranawara,healthy,8
ranawara__healthy__image_09,ranawara,healthy,4
ranawara__healthy__image_10,ranawara,healthy,5
ranawara__healthy__image_11,ranawara,healthy,2
ranawara__healthy__image_15,ranawara,healthy,2
ranawara__healthy__image_13,ranawara,healthy,0
ranawara__healthy__image_14,ranawara,healthy,0
ranawara__healthy__image_17,ranawara,healthy,5
ranawara__healthy__image_16,ranawara,healthy,1
ranawara__healthy__image_18,ranawara,healthy,3
ranawara__healthy__image_20,ranawara,healthy,0
ranawara__healthy__image_19,ranawara,healthy,2
ranawara__healthy__image_21,ranawara,healthy,2
ranawara__healthy__image_22,ranawara,healthy,0
ranawara__healthy__image_23,ranawara,healthy,0
ranawara__healthy__image_25,ranawara,healthy,3
ranawara__healthy__image_24,ranawara,healthy,0
ranawara__healthy__test_3,ranawara,healthy,3
ranawara__healthy__test_2,ranawara,healthy,0
ranawara__healthy__test_4,ranawara,healthy,2
ranawara__healthy__test_6,ranawara,healthy,0
ranawara__healthy__test_7,ranawara,healthy,2
ranawara__healthy__image_26,ranawara,healthy,0
ranawara__healthy__image_27,ranawara,healthy,2
ranawara__healthy__image_28,ranawara,healthy,2
siyambala__damaged_high__image_02,siyambala,high,9
siyambala__damaged_high__image_05,siyambala,high,2
siyambala__damaged_high__image_03,siyambala,high,6
siyambala__damaged_high__image_06,siyambala,high,8
siyambala__damaged_high__image_08,siyambala,high,5
siyambala__damaged_high__test_1,siyambala,high,9
siyambala__damaged_high__test_3,siyambala,high,9
siyambala__damaged_high__image_09,siyambala,high,7
siyambala__damaged_high__image_10,siyambala,high,4
siyambala__damaged_high__image_11,siyambala,high,2
siyambala__damaged_high__image_15,siyambala,high,2
siyambala__damaged_high__image_16,siyambala,high,8
siyambala__damaged_low__test_1,siyambala,low,5
siyambala__damaged_low__image_11,siyambala,low,2
siyambala__damaged_low__image_12,siyambala,low,3
siyambala__damaged_low__image_13,siyambala,low,3
siyambala__damaged_low__image_14,siyambala,low,1
siyambala__damaged_low__image_15,siyambala,low,2
